ID,Difficulty,Category,Question_English,Logic_Hint,PostgreSQL_Query,GroundTruthValue,LLM_SQL_Value,Error_Message,Is_Correct,Filter_Version,SQL_Gen_Version
1,Basic,Device & Country,How many total tickets do we have for 'AMIRA' devices located in Germany?,SELECT COUNT(NOTI_ID) FROM table WHERE MAT_SYS_GROUP_TEXT = 'AMIRA' AND NOTI_COUNTRY_TEXT = 'Germany',SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE MAT_SYS_GROUP_TEXT = 'AMIRA' AND (NOTI_COUNTRY_TEXT = 'Germany' OR NOTI_COUNTRY_ID = 'DE');,148,148,,True,v2,v3
2,Basic,Device & Country,What is the total number of service tickets for the 'VIDA' product line in Switzerland?,SELECT COUNT(NOTI_ID) FROM table WHERE MAT_SYS_GROUP_TEXT = 'VIDA' AND NOTI_COUNTRY_TEXT = 'Switzerland',SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE MAT_SYS_GROUP_TEXT = 'VIDA' AND NOTI_COUNTRY_TEXT = 'Switzerland';,41,41,,True,v2,v3
3,Basic,Device & Country,How many records are there for 'SEMPRA-MICA' systems operating in Brazil?,SELECT COUNT(NOTI_ID) FROM table WHERE MAT_SYS_GROUP_TEXT = 'SEMPRA-MICA' AND NOTI_COUNTRY_TEXT = 'Brazil',SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE MAT_IVK_GROUP_TEXT ILIKE '%SEMPRA-MICA%' AND NOTI_COUNTRY_TEXT = 'Brazil';,118,118,,True,v2,v3
4,Basic,Device & Country,Count the total number of notifications reported for 'SKYRA' systems in Australia.,SELECT COUNT(NOTI_ID) FROM table WHERE MAT_SYS_GROUP_TEXT = 'SKYRA' AND NOTI_COUNTRY_TEXT = 'Australia',SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE MAT_SYS_GROUP_TEXT = 'SKYRA' AND NOTI_COUNTRY_TEXT = 'Australia';,33,33,,True,v2,v3
5,Basic,Device & Country,How many 'VIDA' systems located in Austria have generated a service ticket?,SELECT COUNT(NOTI_ID) FROM table WHERE MAT_SYS_GROUP_TEXT = 'VIDA' AND NOTI_COUNTRY_TEXT = 'Austria',SELECT COUNT(DISTINCT SYS_SERIAL_ID) AS system_count FROM t_mr_cs_summary_dailyFourSysResult WHERE MAT_SYS_GROUP_TEXT = 'VIDA' AND NOTI_COUNTRY_TEXT = 'Austria';,11,11,,True,v2,v3
6,Basic,Category & Spare Parts,How many 'Repair due to Partially Down' incidents did not consume any spare parts?,SELECT COUNT(NOTI_ID) FROM table WHERE NOTI_CATEGORY_TEXT = 'Repair due to Partially Down' AND NOTI_SP_CONSUMED_FLG = 'N',SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE NOTI_CATEGORY_TEXT = 'Repair due to Partially Down' AND NOTI_SP_CONSUMED_FLG = 'N';,422,422,,True,v2,v3
7,Basic,Category & Spare Parts,What is the total count of 'Repair due to Totally Down' tickets where no spare parts were consumed?,SELECT COUNT(NOTI_ID) FROM table WHERE NOTI_CATEGORY_TEXT = 'Repair due to Totally Down' AND NOTI_SP_CONSUMED_FLG = 'N',SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE NOTI_CATEGORY_TEXT = 'Repair due to Totally Down' AND NOTI_SP_CONSUMED_FLG = 'N';,84,84,,True,v2,v3
8,Basic,Category & Spare Parts,How many times did a 'Scheduled Reactive Service' actually require spare parts to be consumed?,SELECT COUNT(NOTI_ID) FROM table WHERE NOTI_CATEGORY_TEXT = 'Scheduled Reactive Service' AND NOTI_SP_CONSUMED_FLG = 'Y',SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE NOTI_CATEGORY_TEXT = 'Scheduled Reactive Service' AND NOTI_SP_CONSUMED_FLG = 'Y';,71,71,,True,v2,v3
9,Basic,Category & Spare Parts,Count the number of 'Repair due to Partially Down' tickets that consumed spare parts.,SELECT COUNT(NOTI_ID) FROM table WHERE NOTI_CATEGORY_TEXT = 'Repair due to Partially Down' AND NOTI_SP_CONSUMED_FLG = 'Y',SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE NOTI_CATEGORY_TEXT = 'Repair due to Partially Down' AND NOTI_SP_CONSUMED_FLG = 'Y';,114,114,,True,v2,v3
10,Basic,Category & Spare Parts,How many 'Repair due to Totally Down' incidents successfully replaced and consumed spare parts?,SELECT COUNT(NOTI_ID) FROM table WHERE NOTI_CATEGORY_TEXT = 'Repair due to Totally Down' AND NOTI_SP_CONSUMED_FLG = 'Y',SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE NOTI_CATEGORY_TEXT = 'Repair due to Totally Down' AND NOTI_SP_CONSUMED_FLG = 'Y';,27,27,,True,v2,v3
11,Intermediate,Problem Classification,How many tickets have their Level 1 problem set as 'Magnet' and Level 2 problem as 'CAN24 Module Reporting Failures'?,SELECT COUNT(NOTI_ID) FROM table WHERE Problem_CAT_L1_LLM = 'Magnet' AND Problem_CAT_L2_LLM = 'CAN24 Module Reporting Failures',SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE Problem_CAT_L1_LLM = 'Magnet' AND Problem_CAT_L2_LLM ILIKE '%CAN24 Module Reporting Failures%';,65,65,,True,v2,v3
12,Intermediate,Problem Classification,What is the total number of 'Cooling' incidents specifically caused by 'Pressure-Related' issues?,SELECT COUNT(NOTI_ID) FROM table WHERE Problem_CAT_L1_LLM = 'Cooling' AND Problem_CAT_L2_LLM = 'Pressure-Related',SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE Problem_CAT_L1_LLM = 'Cooling' AND Problem_CAT_L2_LLM ILIKE '%Pressure-Related%';,45,45,,True,v2,v3
13,Intermediate,Problem Classification,How many service requests belong to the 'Local Coil' category under Level 1 and are described as 'Connection and Recognition' under Level 2?,SELECT COUNT(NOTI_ID) FROM table WHERE Problem_CAT_L1_LLM = 'Local Coil' AND Problem_CAT_L2_LLM = 'Connection and Recognition',SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE Problem_CAT_L1_LLM = 'Local Coil' AND Problem_CAT_L2_LLM ILIKE '%Connection and Recognition%';,29,29,,True,v2,v3
14,Intermediate,Problem Classification,Find the total count of tickets related to 'Cooling' that involve 'Water Flow and Blockage Issues'.,SELECT COUNT(NOTI_ID) FROM table WHERE Problem_CAT_L1_LLM = 'Cooling' AND Problem_CAT_L2_LLM = 'Water Flow and Blockage Issues',SELECT COUNT(DISTINCT NOTI_ID) AS ticket_count FROM t_mr_cs_summary_dailyFourSysResult WHERE Problem_CAT_L1_LLM = 'Cooling' AND Problem_CAT_L2_LLM ILIKE '%Water Flow and Blockage Issues%';,23,23,,True,v2,v3
